atom_index_0based,atom_index_1based,element,initial_distance_from_vacancy_A,final_distance_from_vacancy_A,radial_change_A,displacement_A,dx_A,dy_A,dz_A,initial_x_A,initial_y_A,initial_z_A,final_x_A,final_y_A,final_z_A
40,41,Zn,12.393371296212383,12.395434184466666,0.002062888254283024,0.0022125105092540755,0.0006693752999993801,-0.0001489445000002509,0.002103557700000203,6.743136000000001,1.946576,23.146498,6.7438053753,1.9464270554999998,23.1486015577
254,255,O,6.99597940284282,6.995230691535395,-0.0007487113074251539,0.00219146424420585,-2.6441100001227446e-05,0.0017695908999999337,-0.0012924257999981541,5.057352000000001,8.759591,18.593611,5.0573255589,8.761360590899999,18.5923185742
253,254,O,6.995979338650521,6.995260091260134,-0.000719247390387423,0.0021808555510370933,0.0015285502000015046,-0.0009067196999997356,-0.001263932200000085,6.743136,5.839726999999999,18.593611,6.744664550200001,5.838820280299999,18.5923470678
249,250,O,6.995979338650521,6.995316253517827,-0.0006630851326940856,0.002143147963474932,-0.0015394204000001382,-0.000879289299999871,-0.0012042086000008056,3.371568,5.839726999999999,18.593611,3.3700285796,5.8388477107,18.5924067914
243,244,O,9.716666756843262,9.716715250411832,4.8493568570506795e-05,0.002092408473480978,-0.00172636940000008,0.000982634,0.0006574590000010337,3.371568,0.0,18.593611,3.3698416306000003,0.000982634,18.594268459
52,53,In,13.747962753027881,13.749696574938715,0.0017338219108342656,0.0020100168729784863,8.459220000004489e-05,-6.564359999987054e-05,-0.0020071629000000027,3.371568,0.0,0.052414,3.3716525922,-6.564359999999998e-05,0.0504068371
246,247,O,9.716666856847143,9.716720349142951,5.349229580886572e-05,0.0019883308986089333,-1.2068700001107054e-05,-0.0018841758000003657,0.0006349769000020975,-1.685783999999999,8.759591,18.593611,-1.6857960687000002,8.7577068242,18.5942459769
247,248,O,11.827235389130573,11.829109524117296,0.0018741349867230639,0.0019758324613112226,0.0016578285000001193,0.0009233564999999999,0.0005503920000020602,6.743136,0.0,18.593611,6.7447938285,0.0009233564999999999,18.594161392
120,121,Ga,11.044949652671713,14.593200907565883,3.5482512548941703,0.0019215867560331535,-0.00010163349999946426,-5.804330000010623e-05,-0.001918019100000043,8.428920000000002,0.973288,3.126266,8.428818366500002,0.9732299566999999,3.1243479809
56,57,In,15.312621067113287,15.314013673306523,0.001392606193235224,0.00191418307880282,-0.0001221595999998536,-4.5745100000137684e-05,-0.0019097333000000017,6.743136,0.0,0.052414,6.743013840400001,-4.574509999999999e-05,0.0505042667
116,117,Ga,10.517767921542525,10.518773682142252,0.0010057605997264574,0.0019102958530518273,2.084820000077057e-05,0.0007923574999999565,-0.001738092399999941,5.057352,0.973288,3.126266,5.057372848200001,0.9740803575,3.1245279076
257,258,O,12.67274430560721,12.671164232542921,-0.0015800730642894223,0.0018937335746812408,-2.5422899999410597e-05,0.0004017800000000323,0.0018504468000000932,-1.685784,6.813015,1.144098,-1.6858094229000002,6.81341678,1.1459484468
55,56,In,13.747962823707764,13.749618661058394,0.0016558373506292412,0.0018892343754913611,4.135139999960099e-05,9.520339999956196e-05,-0.0018863809000000053,-1.685783999999999,8.759591,0.052414,-1.685742648599999,8.7596862034,0.0505276191
114,115,Ga,11.044949693475113,11.046438573988436,0.0014888805133228544,0.0018863802981902195,-4.06959999991018e-06,0.00011720299999942855,-0.0018827314000003283,-1.685784,6.813015,3.126266,-1.6857880696,6.813132202999999,3.1243832686
112,113,Ga,11.044949652671713,11.046417682889558,0.0014680302178451399,0.001877141349474632,9.26823999998707e-05,-8.322940000018589e-05,-0.001873003600000095,1.6857840000000002,0.973288,3.126266,1.6858766824,0.9732047705999999,3.1243929964
255,256,O,12.672744270044946,12.671230292775057,-0.0015139772698891107,0.0018693285037989687,0.00037476599999960525,-0.00014859080000017666,0.0018253384000000916,1.6857840000000002,0.973288,1.144098,1.6861587659999997,0.9731394091999999,1.1459233384
265,266,O,10.729798,10.727937903850092,-0.0018600961499082302,0.0018603850822767267,1.4873600000738405e-05,-2.9215700000196863e-05,0.0018600961999999622,5.057352,6.813015,1.144098,5.057366873600001,6.8129857842999995,1.1459580962
