atom_index_0based,atom_index_1based,element,initial_distance_from_vacancy_A,final_distance_from_vacancy_A,radial_change_A,displacement_A,dx_A,dy_A,dz_A
143,144,O,11.247045512232491,11.245011374321452,-0.0020341379110391244,0.0020415369454592947,0.0003437528000001841,0.0003633417999999757,0.0019793154999999565
151,152,O,11.247045771844089,11.245011679677335,-0.00203409216675432,0.002041487742478324,-0.0001428511999997979,-0.000479280800000879,0.001979281599999954
148,149,O,11.247045771844089,11.245011707170441,-0.002034064673647862,0.0020414364828667286,0.00014316240000038024,-0.00047920210000070316,0.0019792253000000593
146,147,O,11.247045512232491,11.2450114859121,-0.002034026320391291,0.002041402596275646,-0.00034340299999993787,0.0003635207000000018,0.001979204800000116
147,148,O,10.729798,10.727995174300007,-0.001802825699993349,0.0018028257447459417,1.7550000055484663e-07,3.613000003525776e-07,0.0018028257000000912
145,146,O,12.216013023556563,12.214580296094612,-0.001432727461951444,0.0016311489144859943,-1.894000002212732e-07,1.0669999966134001e-07,0.0016311489000001157
176,177,O,8.918069511486104,8.916873953534164,-0.0011955579519398185,0.0015820960119116967,8.809999995899879e-08,-1.729999999469604e-07,0.0015820960000000903
149,150,O,12.216013028458878,12.214626138838572,-0.0013868896203064196,0.0015790054316313668,2.979999990859332e-07,-1.0530000000313146e-07,0.0015790054000000347
92,93,O,5.8397267976250005,5.839723072276966,-3.7253480345000867e-06,0.0015212467628184514,3.8044999996810643e-06,-2.2779000005820495e-06,0.0015212402999976557
65,66,Ga,10.517767809178883,10.518840789785333,0.0010729806064500025,0.0012901789399193948,-2.812000001227845e-07,1.5469999961289515e-07,-0.0012901789000003075
34,35,In,11.980675772065155,11.981753202847663,0.0010774307825087703,0.0010818982670442036,6.751629999991136e-05,-3.933850000035217e-05,-0.0010790727000000023
31,32,In,11.980675772065155,11.981753081237551,0.0010773091723965678,0.0010818142625078763,-6.703349999987825e-05,-3.9332400000321855e-05,-0.0010790188000000007
35,36,In,11.98067589078763,11.981753142042256,0.0010772512546264323,0.0010817622191168442,1.8579999980677567e-07,7.764730000039423e-05,-0.0010789718999999992
95,96,O,5.839726807880059,5.839726973273767,1.653937085066559e-07,0.0010687301177703004,1.7790000059722678e-07,-7.960000001691327e-08,0.0010687300999994106
127,128,O,13.889541133246086,13.890238399063596,0.0006972658175108393,0.0008000265426890999,-0.0001949788000002342,0.00011243130000029821,-0.000767714099999333
130,131,O,13.889541158733945,13.89023839239128,0.0006972336573358717,0.0007999893172940017,0.00019532279999985168,0.0001123421999992576,-0.000767600900002122
126,127,O,13.889541308600213,13.890238297980604,0.0006969893803905336,0.0007999011693686016,2.771999996310304e-07,-0.00022510159999950428,-0.0007675748000000259
133,134,O,13.474119320963718,13.474832441105296,0.000713120141577761,0.000771804346327404,3.805000001391853e-07,-7.656939999957356e-05,-0.0007679967000015863
125,126,O,13.474119043177284,13.474832231363255,0.0007131881859709921,0.0007717698691234554,6.634849999995933e-05,3.769259999986165e-05,-0.0007679882000003915
131,132,O,13.474119043177286,13.47483234283748,0.0007132996601946218,0.0007716248094467865,-6.558499999870686e-05,3.770720000006573e-05,-0.0007679073000024899
128,129,O,13.045474817387397,13.046178996747324,0.0007041793599267265,0.0007121434739582846,3.2000000073774527e-07,-5.420000001823593e-08,-0.0007121434000001217
132,133,O,13.045474932177202,13.046179038740389,0.0007041065631874233,0.0007120819038787359,1.220000053126425e-08,-7.329999967073681e-08,-0.0007120819000015625
129,130,O,13.045474932177202,13.046178851496743,0.0007039193195410576,0.0007119560726166204,4.944999999765137e-07,-3.549999905244292e-08,-0.0007119559000002617
29,30,In,12.446046239460248,12.446731135761906,0.0006848963016583554,0.0006972429953863461,0.00029295519999993216,0.0001692216000004691,-0.0006096630999999961
30,31,In,12.446046014101224,12.446730857107669,0.0006848430064447797,0.0006971983563338682,2.625000000908693e-07,-0.00033833960000021607,-0.0006095997000000011
32,33,In,12.446046182572358,12.446730820710696,0.0006846381383383005,0.0006970030309552437,-0.0002928839000002698,0.00016932140000126792,-0.0006093951999999991
33,34,In,12.894631912689443,12.895120141798468,0.0004882291090257951,0.0005313278821794874,1.451730000105411e-05,8.0771e-06,-0.0005310680999999987
