atom_index_0based,atom_index_1based,element,initial_distance_from_vacancy_A,final_distance_from_vacancy_A,radial_change_A,displacement_A,dx_A,dy_A,dz_A
12,13,Zn,4.225988852026234,4.217244652087653,-0.008744199938580444,0.01042424455449263,-0.0008158979000001602,0.003724264800000019,-0.00970201199999904
10,11,Zn,4.225989224152021,4.217255726275934,-0.00873349787608646,0.010412083846517095,0.0036212042000000953,-0.0010975120999997985,-0.009700197800001704
14,15,Zn,4.225989542956419,4.217255834102355,-0.00873370885406377,0.010411619769868532,0.0027608371000005403,-0.002588363300000284,-0.00969948350000089
17,18,Zn,4.225989542956419,4.217247143575121,-0.008742399381297616,0.010410421664156712,-0.0028290501999991406,-0.0025772293999998873,-0.009681489699999915
9,10,Zn,4.225988852026234,4.217250193395011,-0.008738658631222584,0.010407105327793723,0.0008166783000003249,0.003735733600000041,-0.009679110100000506
8,9,Zn,6.47637243984007,6.484974545952959,0.008602106112888919,0.008806124819402957,5.180899999351115e-06,0.00438403259999999,-0.007637281299999188
4,5,Zn,6.476372220214726,6.48497393915022,0.008601718935493885,0.008805631634213704,-0.003792650000000094,-0.002197731700000329,-0.007637076000000134
116,117,O,5.663102686732864,5.655194141162207,-0.007908545570656678,0.0087749709234574,0.005975538200000408,0.003654272599999958,-0.0052857686000002185
7,8,Zn,6.476372220214726,6.48494085332892,0.008568633114194313,0.008774419104710527,0.0037916716999997504,-0.002189354300000007,-0.0076039715999996725
124,125,O,5.663103202327147,5.655195341150138,-0.007907861177008257,0.008774093988065812,-0.0001775218999984533,-0.0070015160000003384,-0.005285071900000304
119,120,O,5.663102686732865,5.655227001086284,-0.007875685646580699,0.008734595070743702,-0.005937264700000387,0.0037034955999999987,-0.005227442900000932
123,124,O,5.663102964425067,5.65522942153475,-0.007873542890317609,0.008732490034702162,-0.00617552960000118,0.0032890198999998813,-0.005225089900000441
121,122,O,5.663103202327147,5.65538952197327,-0.007713680353876207,0.00854535938278086,0.00024788099999964496,-0.0068333533000001015,-0.005125134599998109
117,118,O,5.663102964425066,5.655390483238934,-0.007712481186132436,0.008543090718821962,0.006040230499999933,0.0031994409000002115,-0.005124801699997606
141,142,O,6.99597919952954,7.001895073804439,0.00591587427489948,0.007288342738498804,0.004968110300000063,-0.0028676691000001013,0.00449603090000126
138,139,O,6.99597919952954,7.001829767915591,0.005850568386051691,0.0072115044078358255,-0.004907088200000112,-0.0028584724000001323,0.004444706600001026
142,143,O,6.99597940284282,7.001829189426869,0.005849786584048999,0.007210359899936821,2.2506999999734757e-05,0.005677840700000551,0.0044441994000027915
46,47,In,7.628815879270449,7.623569201760029,-0.00524667751041985,0.007001191785437111,1.2116999999937949e-05,-0.0010213723999996818,-0.006926278799998018
50,51,In,7.628815606413717,7.623570056927875,-0.005245549485842105,0.007001033915752064,0.000888656900000128,0.0004997851999997806,-0.006926397300000486
47,48,In,7.628815560008788,7.623580630724176,-0.005234929284612555,0.0069987848143186,-0.0008220479000007448,0.0004741215999995702,-0.006934149899998907
172,173,O,8.918069504770893,8.912971505091418,-0.005097999679474441,0.0067058057866921815,-8.363270000004183e-05,4.745759999936655e-05,0.006705116300000124
184,185,O,5.51930932644851,5.521178620835037,0.0018692943865268319,0.006156003993176584,0.0011517295000001366,0.0007305556999994836,0.0060030152999999715
180,181,O,5.519309703592378,5.521177581378312,0.0018678777859344464,0.006155254748139955,-5.7679500000267685e-05,-0.0013647861999999554,0.0060017658000016015
181,182,O,5.519309262307397,5.521194046390685,0.0018847840832876273,0.006142782305870499,-0.001286112100000483,0.0007415029999996066,0.005960693200001123
80,81,Ga,3.8932191968832166,3.8874087332420015,-0.005810463641215069,0.006045594215145409,2.5645400001112015e-05,-0.005800920100000107,0.0017023153999988273
72,73,Ga,3.893218235486548,3.8874081937996285,-0.005810041686919565,0.006045046006257869,0.0050359658000000695,0.0028784531999999515,0.0017018039999993873
78,79,Ga,3.893218235486549,3.88746057749864,-0.0057576579879090595,0.005996174574325143,-0.004977642299999238,0.002874647600000048,0.001706923500000971
51,52,In,6.84334406165655,6.839288220750211,-0.00405584090633937,0.004831138289452624,-0.00013012349999863863,7.370560000010558e-05,-0.004828823099999828
53,54,In,6.843344608600751,6.839294200994572,-0.004050407606179363,0.004808974635320543,-9.087999986421051e-07,-0.00017317370000065,-0.004805855499998622
45,46,In,6.843344061656549,6.839294979415539,-0.0040490822410106375,0.0048075141572161435,0.00014919310000003383,8.74776000000642e-05,-0.004804402299999892
136,137,O,7.76602858607175,7.769027625735991,0.002999039664241643,0.004362257339968777,0.003682150299999968,0.0021115995000001468,0.0010060843999987
137,138,O,7.766028224905313,7.769027914744626,0.002999689839312758,0.004361148579087928,1.190870000006717e-05,-0.004243108800000306,0.0010077215999991904
139,140,O,7.766028494901688,7.769001045548272,0.0029725506465840823,0.004329337490888103,-0.003648838400000111,0.002107713600000215,0.000993320100002036
2,3,Zn,7.3014294610167,7.2976097810410545,-0.0038196799756455846,0.0039600530826080045,-0.0009945558000008464,-0.0005831626999995702,0.003788509000000798
3,4,Zn,7.301429076868789,7.29761018504505,-0.003818891823739179,0.003959257041121738,7.747700000607506e-06,0.0011525861,0.0037877700000004686
174,175,O,6.740145,6.736202549328127,-0.0039424506718734875,0.003942498756124922,1.7175400000407187e-05,-9.161100000150875e-06,0.003942450699999706
5,6,Zn,7.301429364045372,7.297648105496025,-0.0037812585493472994,0.003924622985927571,0.0009756922999998795,-0.000564574700000339,0.003759248000001
134,135,O,8.466325363972848,8.463429206883958,-0.0028961570888892396,0.003739488835053951,0.0012806323000001734,-0.0007387680000003003,-0.0034348186999993142
140,141,O,8.466325363972848,8.463474031065703,-0.002851332907145121,0.003649849889744019,-0.0012225160999988936,-0.0006770488999999496,-0.0033717152000008513
